Sentence_ID,Token,Lemma,Tag
1,Je,byť,VB-S---3P-AA---
1,už,už,XX-------------
1,skoro,skoro,Dg-------1A----
1,október,október,NNIS4-----A----
1,a,a-1,J^-------------
1,v,v-1,RR--6----------
1,škole,škola,NNFS6-----A----
1,opakujeme,opakovať,VB-P---1P-AA---
1,učivo,učivo,NNNS4-----A----
1,zo,z-1,RV--2----------
1,všetkých,všetko,PLXP2----------
1,predmetov,predmet,NNIP2-----A----
1,.,.,Z:-------------
2,Ani,ani,J^-------------
2,sme,byť,VB-P---1P-AA---
2,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
2,nenazdali,nazdať,VpXP---XR-NA---
2,a,a-1,J^-------------
2,ocitli,ocitnúť,VpXP---XR-AA---
2,sme,byť,VB-P---1P-AA---
2,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
2,v,v-1,RR--6----------
2,deviatom,deviaty,CrIS6----------
2,ročníku,ročník,NNIS6-----A----
2,.,.,Z:-------------
3,Myslíme,myslieť,VB-P---1P-AA---
3,si,sa_^(zvr._zámeno;_častica),P7-X3----------
3,",",",",Z:-------------
3,že,že,"J,-------------"
3,tento,tento,PDIS1----------
3,posledný,posledný,AAIS1----1A----
3,ročník,ročník,NNIS1-----A----
3,v,v-1,RR--6----------
3,našej,môj_^(privlast.),PSFS6-P1-------
3,škole,škola,NNFS6-----A----
3,bude,byť,VB-S---3F-AA---
3,náročný,náročný,AAIS1----1A----
3,aj,aj,J^-------------
3,pre,pre-1,RR--4----------
3,žiakov,žiak,NNMP4-----A----
3,",",",",Z:-------------
3,aj,aj,J^-------------
3,pre,pre-1,RR--4----------
3,učiteľov,učiteľ,NNMP4-----A----
3,",",",",Z:-------------
3,aj,aj,J^-------------
3,pre,pre-1,RR--4----------
3,rodičov,rodič,NNMP4-----A----
3,.,.,Z:-------------
4,Najťažšie,ťažký,AANS1----3A----
4,je,byť,VB-S---3P-AA---
4,zopakovať,zopakovať,Vf--------A----
4,si,sa_^(zvr._zámeno;_častica),P7-X3----------
4,pravopis,pravopis,NNIS4-----A----
4,",",",",Z:-------------
4,pretože,pretože,"J,-------------"
4,sme,byť,VB-P---1P-AA---
4,cez,cez-1,RR--4----------
4,prázdniny,prázdniny,NNFP4-----A----
4,veľmi,veľmi,Db-------------
4,nepísali,písať,VpXP---XR-NA---
4,do,do-1,RR--2----------
4,zošitov,zošit,NNIP2-----A----
4,",",",",Z:-------------
4,ale,ale,J^-------------
4,sme,byť,VB-P---1P-AA---
4,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
4,vozili,voziť,VpXP---XR-AA---
4,na,na-1,RR--6----------
4,bicykli,bicykel,NNIS6-----A----
4,",",",",Z:-------------
4,hrali,hrať,VpXP---XR-AA---
4,futbal,futbal,NNIS4-----A----
4,",",",",Z:-------------
4,počítačové,počítačový,AAFP1----1A----
4,hry,hra,NNFP1-----A----
4,",",",",Z:-------------
4,pozerali,pozerať,VpXP---XR-AA---
4,seriály,seriál,NNIP4-----A----
4,alebo,alebo,J^-------------
4,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
4,opaľovali,opaľovať,VpXP---XR-AA---
4,pri,pri-1,RR--6----------
4,bazéne,bazén,NNIS6-----A----
4,.,.,Z:-------------
5,Boli,byť,VpXP---XR-AA---
5,sme,byť,VB-P---1P-AA---
5,aj,aj,J^-------------
5,v,v-1,RR--6----------
5,zoologickej,zoologický,AAFS6----1A----
5,záhrade,záhrada,NNFS6-----A----
5,v,v-1,RR--6----------
5,Bratislave,Bratislava_;G,NNFS6-----A----
5,",",",",Z:-------------
5,kde,kde,Db-------------
5,sme,byť,VB-P---1P-AA---
5,videli,vidieť,VpXP---XR-AA---
5,hady,had,NNIP4-----A----
5,",",",",Z:-------------
5,leopardy,leopard,NNIP4-----A----
5,",",",",Z:-------------
5,paviány,pavián,NNIP4-----A----
5,",",",",Z:-------------
5,slony,slon,NNIP4-----A----
5,a,a-1,J^-------------
5,medvede,medveď,NNIP4-----A----
5,.,.,Z:-------------
6,Keď,keď,"J,-------------"
6,posielame,posielať,VB-P---1P-AA---
6,správy,správa-1_^(spravovanie;_inštitúcia),NNFP4-----A----
6,z,z-1,RR--2----------
6,mobilných,mobilný,AAIP2----1A----
6,telefónov,telefón,NNIP2-----A----
6,",",",",Z:-------------
6,takmer,takmer,Db-------------
6,nikto,nikto,PWM-%----------
6,nepoužíva,používať,VB-S---3P-NA---
6,interpunkčné,interpunkčný,AANP4----1A----
6,znamienka,znamienko,NNNP4-----A----
6,.,.,Z:-------------
7,Pozabúdali,Pozabúdali,X@-------------
7,sme,byť,VB-P---1P-AA---
7,morfológiu,morfológia,NNFS4-----A----
7,aj,aj,J^-------------
7,syntax,syntax,NNFS4-----A----
7,.,.,Z:-------------
8,Častokrát,častokrát,Co-------------
8,si,sa_^(zvr._zámeno;_častica),P7-X3----------
8,nespomenieme,spomenúť,VB-P---1P-NA---
8,",",",",Z:-------------
8,kde,kde,Db-------------
8,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
8,píše,písať,VB-S---3P-AA---
8,čiarka,čiarka,NNFS1-----A----
8,vo,v-1,RV--6----------
8,vete,veta-1_^(komunikačná_jednotka_jazyka),NNFS6-----A----
8,.,.,Z:-------------
9,Takmer,takmer,Db-------------
9,z,z-1,RR--2----------
9,každého,každý,AAIS2----1A----
9,predmetu,predmet,NNIS2-----A----
9,nás,ja,PP-P4--1-------
9,čaká,čakať,VB-S---3P-AA---
9,vstupný,vstupný,AAIS1----1A----
9,test,test,NNIS1-----A----
9,",",",",Z:-------------
9,aby,aby,"J,-------------"
9,si,sa_^(zvr._zámeno;_častica),P7-X3----------
9,pani,pani,NNFS1-----A----
9,učiteľky,učiteľka_^(*2),NNFS2-----A----
9,overili,overiť,VpXP---XR-AA---
9,",",",",Z:-------------
9,čo,čo,PQ--4----------
9,všetko,všetko,PLNS4----------
9,vieme,"vedieť_^(mať_vedomosti,_informácie)",VB-P---1P-AA---
9,alebo,alebo,J^-------------
9,nevieme,"vedieť_^(mať_vedomosti,_informácie)",VB-P---1P-NA---
9,.,.,Z:-------------
10,O,o-1,RR--4----------
10,pár,pár-1_^(dvojica_[vecí;_manželia]),NNIS4-----A----
10,mesiacov,mesiac,NNIP2-----A----
10,nás,ja,PP-P4--1-------
10,čakajú,čakať,VB-P---3P-AA---
10,dôležité,dôležitý,AAFP1----1A----
10,prijímacie,prijímací_^(*2ť),AAFP1----1A----
10,skúšky,skúška,NNFP1-----A----
10,na,na-1,RR--4----------
10,stredné,stredný,AAFP4----1A----
10,školy,škola,NNFP4-----A----
10,.,.,Z:-------------
11,Musíme,musieť,VB-P---1P-AA---
11,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
11,dobre,dobre,Dg-------1A----
11,pripraviť,pripraviť,Vf--------A----
11,",",",",Z:-------------
11,aby,aby,"J,-------------"
11,sme,byť,VB-P---1P-AA---
11,si,sa_^(zvr._zámeno;_častica),P7-X3----------
11,splnili,splniť,VpXP---XR-AA---
11,sny,sen,NNIP4-----A----
11,o,o-1,RR--6----------
11,svojom,svoj_^(privlast.),P8IS6----------
11,budúcom,budúci,AANS6----1A----
11,povolaní,povolanie_^(*3ť),NNNS6-----A----
11,.,.,Z:-------------
12,Výchovno,výchovný,A2-------------
12,-,-,Z:-------------
12,vzdelávací,vzdelávací_^(*2ť),AAIS1----1A----
12,proces,proces,NNIS1-----A----
12,v,v-1,RR--6----------
12,školskom,školský,AAIS6----1A----
12,roku,rok,NNIS6-----A----
12,2020,2020,C=-------------
12,/,/,Z:-------------
12,2021,2021,C=-------------
12,je,byť,VB-S---3P-AA---
12,v,v-1,RR--6----------
12,plnom,plný,AAIS6----1A----
12,prúde,prúd,NNIS6-----A----
12,.,.,Z:-------------
13,Na,na-1,RR--4----------
13,cestu,cesta_^(napr._kde_jazdia_autá),NNFS4-----A----
13,za,za-1,RR--7----------
13,poznaním,poznanie_^(*3ť),NNNS7-----A----
13,interpunkčných,interpunkčný,AANP2----1A----
13,znamienok,znamienko,NNNP2-----A----
13,sme,byť,VB-P---1P-AA---
13,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
13,však,však,J^-------------
13,vydali,vydať,VpXP---XR-AA---
13,už,už,XX-------------
13,v,v-1,RR--6----------
13,1,1,C=-------------
13,.,.,Z:-------------
13,ročníku,ročník,NNIS6-----A----
13,.,.,Z:-------------
14,Zoznamovali,zoznamovať,VpXP---XR-AA---
14,sme,byť,VB-P---1P-AA---
14,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
14,s,s-1,RR--7----------
14,nimi,on-1,PPMP7--3-------
14,vo,v-1,RV--6----------
14,všetkých,všetko,PLXP6----------
14,predmetoch,predmet,NNIP6-----A----
14,.,.,Z:-------------
15,Na,na-1,RR--6----------
15,hodinách,hodina_^(jednotka_času),NNFP6-----A----
15,slovenčiny,slovenčina,NNFS2-----A----
15,nás,ja,PP-P4--1-------
15,zaujali,zaujať,VpXP---XR-AA---
15,milé,milý-2_^(osoba;_pr._môj_milý),AAIP1----1A----
15,verše,verš,NNIP1-----A----
15,Márie,Mária_;Y,NNFS2-----A----
15,Rázusovej,Rázusovej,X@-------------
15,-,-,Z:-------------
15,Martákovej,Martákovej,X@-------------
15,i,i-1,J^-------------
15,povesti,povesť,NNFS3-----A----
15,Jozefa,Jozefa_;Y,NNFS1-----A----
15,Cígera,Cígera,X@-------------
15,-,-,Z:-------------
15,Hronského,Hronský,AAMS4----1A----
15,.,.,Z:-------------
16,Neskôr,neskoro,Dg-------2A----
16,sme,byť,VB-P---1P-AA---
16,spoznávali,spoznávať,VpXP---XR-AA---
16,múdrosť,múdrosť_^(*3y),NNFS4-----A----
16,našich,môj_^(privlast.),PSXP2-P1-------
16,predkov,predok,NNMP2-----A----
16,v,v-1,RR--6----------
16,prísloviach,príslovie,NNNP6-----A----
16,:,:,Z:-------------
16,mladosť,mladosť_^(*3ý),NNFS1-----A----
16,–,–,Z:-------------
16,pochabosť,pochabosť,X@-------------
16,",",",",Z:-------------
16,staroba,staroba,NNFS1-----A----
16,–,–,Z:-------------
16,choroba,choroba,NNFS1-----A----
16,",",",",Z:-------------
16,sľuboval,sľubovať,VpYS---XR-AA---
16,hory,hora_^(kopec;_les),NNFP4-----A----
16,–,–,Z:-------------
16,doly,doly,X@-------------
16,a,a-1,J^-------------
16,nepodá,podať,VB-S---3P-NA---
16,pohár,pohár,NNIS4-----A----
16,vody,voda,NNFS2-----A----
16,",",",",Z:-------------
16,sto,sto`100,NNNS4-----A----
16,hláv,hlava,NNFP2-----A----
16,–,–,Z:-------------
16,sto,sto`100,NNNS4-----A----
16,rozumov,rozum,NNIP2-----A----
16,.,.,Z:-------------
17,V,v-1,RR--6----------
17,dejepise,dejepis,NNIS6-----A----
17,sme,byť,VB-P---1P-AA---
17,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
17,učili,učiť,VpXP---XR-AA---
17,o,o-1,RR--4----------
17,Rakúsko,Rakúsko_;G,NNNS4-----A----
17,-,-,Z:-------------
17,Uhorsku,Uhorsko_;G,NNNS6-----A----
17,i,i-1,J^-------------
17,rozdelení,rozdelenie_^(*4iť),NNNS6-----A----
17,Česko,český,A2-------------
17,-,-,Z:-------------
17,Slovenska,Slovensko_;G,NNNS2-----A----
17,.,.,Z:-------------
17,",",",",Z:-------------
17,",",",",Z:-------------
17,Zem,zem,NNFS1-----A----
17,obieha,obiehať,VB-S---3P-AA---
17,okolo,okolo-1,RR--2----------
17,Slnka,slnko,NNNS2-----A----
17,priemernou,priemerný,AAFS7----1A----
17,rýchlosťou,rýchlosť_^(*3y),NNFS7-----A----
17,"29,8","29,8",C=-------------
17,km,km-1_:B,NNIXX-----A---8
17,/,/,Z:-------------
17,s,sekunda_:B,NNFXX-----A---8
17,",",",",Z:-------------
17,“,“,Z:-------------
17,odznelo,odznieť,VpNS---XR-AA---
17,na,na-1,RR--6----------
17,fyzike,fyzika_^(veda),NNFS6-----A----
17,.,.,Z:-------------
18,Voľky,voľky,A2-------------
18,-,-,Z:-------------
18,nevoľky,nevoľky,XX-------------
18,sme,byť,VB-P---1P-AA---
18,riešili,riešiť,VpXP---XR-AA---
18,i,i-1,J^-------------
18,príklady,príklad,NNIP1-----A----
18,na,na-1,RR--4----------
18,pohyb,pohyb,NNIS4-----A----
18,i,i-1,J^-------------
18,v,v-1,RR--6----------
18,matematike,matematika_^(veda),NNFS6-----A----
18,.,.,Z:-------------
19,Našimi,môj_^(privlast.),PSXP7-P1-------
19,vernými,verný,AAMP7----1A----
19,pomocníkmi,pomocník,NNMP7-----A----
19,na,na-1,RR--6----------
19,angličtine,angličtina,NNFS6-----A----
19,sú,byť,VB-P---3P-AA---
19,anglicko,anglický,A2-------------
19,-,-,Z:-------------
19,slovenské,slovenský,AAIP1----1A----
19,slovníky,slovník,NNIP1-----A----
19,.,.,Z:-------------
20,Blíži,blížiť,VB-S---3P-AA---
20,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
20,čas,čas,NNIS1-----A----
20,Vianoc,vianoce,NNFP2-----A----
20,.,.,Z:-------------
21,Hurá,hurá,II-------------
21,!,!,Z:-------------
22,Budeme,byť,VB-P---1F-AA---
