Token,Lemma,Xpos1,Xpos2,Xpos3,Xpos4,Xpos5,Xpos6,Xpos7,ID
Je,byť,V,K,e,s,c,+,-,1
už,už,T,-,-,-,-,-,-,2
skoro,skoro,D,x,-,-,-,-,-,3
október,október,S,S,i,s,1,-,-,4
a,a,O,-,-,-,-,-,-,5
v,v,E,u,6,-,-,-,-,6
škole,škola,S,S,f,s,6,-,-,7
opakujeme,opakovať,V,K,e,p,a,+,-,8
učivo,učivo,S,S,i,s,4,-,-,9
zo,z,E,v,2,-,-,-,-,10
všetkých,všetok,P,F,i,p,2,-,-,11
predmetov,predmet,S,S,i,p,2,-,-,12
.,.,Z,-,-,-,-,-,-,13
Ani,ani,O,-,-,-,-,-,-,1
sme,byť,V,K,e,p,a,+,-,2
sa,sa,R,-,-,-,-,-,-,3
nenazdali,nazdať,V,L,d,p,a,h,-,4
a,a,O,-,-,-,-,-,-,5
ocitli,ocitnúť,V,L,d,p,a,h,+,6
sme,byť,V,K,e,p,a,+,-,7
sa,sa,R,-,-,-,-,-,-,8
v,v,E,u,6,-,-,-,-,9
deviatom,deviaty,N,A,i,s,6,-,-,10
ročníku,ročník,S,S,i,s,6,-,-,11
.,.,Z,-,-,-,-,-,-,12
Myslíme,myslieť,V,K,e,p,a,+,-,1
si,si,R,-,-,-,-,-,-,2
",",",",Z,-,-,-,-,-,-,3
že,že,O,-,-,-,-,-,-,4
tento,tento,P,F,i,s,1,-,-,5
posledný,posledný,N,A,i,s,1,-,-,6
ročník,ročník,S,S,i,s,1,-,-,7
v,v,E,u,6,-,-,-,-,8
našej,náš,P,F,f,s,6,-,-,9
škole,škola,S,S,f,s,6,-,-,10
bude,byť,V,B,e,s,c,+,-,11
náročný,náročný,A,A,i,s,1,x,-,12
aj,aj,T,-,-,-,-,-,-,13
pre,pre,E,u,4,-,-,-,-,14
žiakov,žiak,S,S,m,p,4,-,-,15
",",",",Z,-,-,-,-,-,-,16
aj,aj,O,-,-,-,-,-,-,17
pre,pre,E,u,4,-,-,-,-,18
